NVDA,0001045810
AAPL,0000320193
GOOGL,0001652044
MSFT,0000789019
AMZN,0001018724
AVGO,0001730168
META,0001326801
TSLA,0001318605
BRK-B,0001067983
WMT,0000104169
LLY,0000059478
JPM,0000019617
XOM,0000034088
JNJ,0000200406
V,0001403161
MA,0001141391
COST,0000909832
ORCL,0001341439
CVX,0000093410
NFLX,0001065280
ABBV,0001551152
MU,0000723125
PLTR,0001321655
BAC,0000070858
PG,0000080424
AMD,0000002488
CAT,0000018230
HD,0000354950
KO,0000021344
CSCO,0000858877
GE,0000040545
MRK,0000310158
AMAT,0000006951
LRCX,0000707549
MS,0000895421
RTX,0000101829
PM,0001413329
GS,0000886982
WFC,0000072971
UNH,0000731766
GEV,0001996810
TMUS,0001283699
LIN,0001707925
IBM,0000051143
MCD,0000063908
INTC,0000050863
PEP,0000077476
VZ,0000732712
AXP,0000004962
T,0000732717
C,0000831001
NEE,0000753308
KLAC,0000319201
AMGN,0000318154
TMO,0000097745
ABT,0000001800
TJX,0000109198
TXN,0000097476
CRM,0001108524
GILD,0000882095
DIS,0001744489
SCHW,0000316709
ISRG,0001035267
COP,0001163165
PFE,0000078003
BA,0000012927
ADI,0000006281
ANET,0001596532
APH,0000820313
DE,0000315189
BLK,0002012383
UBER,0001543151
UNP,0000100885
HON,0000773840
BX,0001393818
LMT,0000936468
ETN,0001551182
WELL,0000766704
QCOM,0000804328
BKNG,0001075531
APP,0001751008
DHR,0000313616
LOW,0000060667
PANW,0001327567
SPGI,0000064040
CB,0000896159
SYK,0000310764
BMY,0000014272
PLD,0001045609
ACN,0001467373
INTU,0000896878
NEM,0001164727
GLW,0000024741
PGR,0000080661
IBKR,0001381197
VRTX,0000875320
COF,0000927628
PH,0000076334
MDT,0001613103
MO,0000764180
NOW,0001373715
DELL,0001571996
SO,0000092122
CME,0001156375
MCK,0000927653
HCA,0000860730
CMCSA,0001166691
SBUX,0000829224
DUK,0001326160
CEG,0001868275
ADBE,0000796343
CRWD,0001535527
NOC,0001133421
EQIX,0001101239
VRT,0001674101
SNDK,0002023554
